 ================================================================================
 Tracefile : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb
           : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i_ahb_beat.log
 Logfile   : reports/ahbfab_cov.m33i_ram0/mvc_ahb_mon_6/window.log
         TransferTime          1327926
         Pointer       HASH(0x4361110)
         Transaction                87
         TransferTime          1328166
         Pointer       HASH(0x4361350)
         Transaction                88
         TransferTime          1328466
         Pointer       HASH(0x4361590)
         Transaction                89
         TransferTime          1328706
         Pointer       HASH(0x43617d0)
         Transaction                90
         TransferTime          1328976
         Pointer       HASH(0x4361a10)
         Transaction                91
         TransferTime          1329216
         Pointer       HASH(0x4361c78)
         Transaction                92
         TransferTime          1329456
         Pointer       HASH(0x4361eb8)
         Transaction                93
         TransferTime          1329696
         Pointer       HASH(0x43620f8)
         Transaction                94
         TransferTime          1329936
         Pointer       HASH(0x4362338)
         Transaction                95
         TransferTime          1330176
         Pointer       HASH(0x4362578)
         Transaction                96
         TransferTime          1330416
         Pointer       HASH(0x43627b8)
         Transaction                97
         TransferTime          1330686
         Pointer       HASH(0x43629f8)
         Transaction                98
         TransferTime          1330956
         Pointer       HASH(0x43b6b40)
         Transaction                99
         TransferTime          1331196
         Pointer       HASH(0x43b6d80)
         Transaction               100
         TransferTime          1331466
         Pointer       HASH(0x43b6fc0)
         Transaction               101
         TransferTime          1331706
         Pointer       HASH(0x43b7200)
         Transaction               102
         TransferTime          1331946
         Pointer       HASH(0x43b7440)
         Transaction               103
         TransferTime          1332246
         Pointer       HASH(0x43b7680)
         Transaction               104
         TransferTime          1332486
         Pointer       HASH(0x43b78c0)
         Transaction               105
         TransferTime          1332726
         Pointer       HASH(0x43bc2c8)
         Transaction               106
         TransferTime          1332966
         Pointer       HASH(0x43bc508)
         Transaction               107
         TransferTime          1333236
         Pointer       HASH(0x43bc748)
         Transaction               108
         TransferTime          1333476
         Pointer       HASH(0x43bc988)
         Transaction               109
         TransferTime          1333746
         Pointer       HASH(0x43bcbc8)
         Transaction               110
         TransferTime          1333986
         Pointer       HASH(0x43bce08)
         Transaction               111
         TransferTime          1334226
         Pointer       HASH(0x43bd048)
         Transaction               112
         TransferTime          1334466
         Pointer       HASH(0x43c0a80)
         Transaction               113
         TransferTime          1334766
         Pointer       HASH(0x43c0cc0)
         Transaction               114
         TransferTime          1335036
         Pointer       HASH(0x43c0f00)
         Transaction               115
         TransferTime          1335276
         Pointer       HASH(0x43c1140)
         Transaction               116
         TransferTime          1335516
         Pointer       HASH(0x43c1380)
         Transaction               117
         TransferTime          1335756
         Pointer       HASH(0x43c15c0)
         Transaction               118
         TransferTime          1336026
         Pointer       HASH(0x43c1800)
         Transaction               119
         TransferTime          1336266
         Pointer       HASH(0x43c55e8)
         Transaction               120
         TransferTime          1336566
         Pointer       HASH(0x43c5828)
         Transaction               121
         TransferTime          1336836
         Pointer       HASH(0x43c5a68)
         Transaction               122
         TransferTime          1337076
         Pointer       HASH(0x43c5ca8)
         Transaction               123
         TransferTime          1337346
         Pointer       HASH(0x43c5ee8)
         Transaction               124
         TransferTime          1337586
         Pointer       HASH(0x43c6128)

 TraceStart:     606261 ns
 TraceEnd  :    1337586 ns
 Starting  :     609046 ns
 Ending    :    1323961 ns

 START pointer HASH(0x32a7c00)
 STOP  pointer HASH(0x435f140)
