 ================================================================================
 Tracefile : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb
           : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i_ahb_beat.log
 Logfile   : reports/ahbfab_cov.m33i_ram0/mvc_ahb_mon_6/window.log
 Script    : parse_ahb_tracker.pl 1.04.01
 Date      : 2018-09-22
 Time      :   17:23:56
 Cycle     :         40 ns
 Frequency :      25.00 MHz
 ================================================================================
         Transaction                 1
         TransferTime           606261
         Pointer       HASH(0x37296c0)
         Transaction                 2
         TransferTime           606441
         Pointer       HASH(0x4350090)
         Transaction                 3
         TransferTime           606611
         Pointer       HASH(0x32a4a98)
         Transaction                 4
         TransferTime           606781
         Pointer       HASH(0x32a4cd8)
         Transaction                 5
         TransferTime           606941
         Pointer       HASH(0x32a4f18)
         Transaction                 6
         TransferTime           607116
         Pointer       HASH(0x32a5158)
         Transaction                 7
         TransferTime           607271
         Pointer       HASH(0x32a5398)
         Transaction                 8
         TransferTime           607446
         Pointer       HASH(0x32a55d8)
         Transaction                 9
         TransferTime           607601
         Pointer       HASH(0x32a5818)
         Transaction                10
         TransferTime           607781
         Pointer       HASH(0x32a5a80)
         Transaction                11
         TransferTime           607941
         Pointer       HASH(0x32a5cc0)
         Transaction                12
         TransferTime           608111
         Pointer       HASH(0x32a7758)
         Transaction                13
         TransferTime           608281
         Pointer       HASH(0x32a79c0)
         Transaction                14
         TransferTime           608681
         Pointer       HASH(0x32a7c00)	STARTWINDOW   HASH(0x32a7c00)
         Transaction                15
         TransferTime           609071
         Pointer       HASH(0x32a7e40)
         Transaction                16
         TransferTime           609491
         Pointer       HASH(0x32a8080)
         Transaction                17
         TransferTime           609926
         Pointer       HASH(0x32a82c0)
         Transaction                18
         TransferTime           610301
         Pointer       HASH(0x32a8500)
         Transaction                19
         TransferTime           610761
         Pointer       HASH(0x32a8740)
         Transaction                20
         TransferTime           611231
         Pointer       HASH(0x32a89a8)
         Transaction                21
         TransferTime           611651
         Pointer       HASH(0x32a8be8)
         Transaction                22
         TransferTime           612101
         Pointer       HASH(0x32a8e28)
         Transaction                23
         TransferTime           612556
         Pointer       HASH(0x32a9068)
         Transaction                24
         TransferTime           613031
         Pointer       HASH(0x32a92a8)
         Transaction                25
         TransferTime           613421
         Pointer       HASH(0x32a94e8)
         Transaction                26
         TransferTime           613841
         Pointer       HASH(0x32a9728)
         Transaction                27
         TransferTime           614231
         Pointer       HASH(0x32a9990)
         Transaction                28
         TransferTime           614681
         Pointer       HASH(0x32a9bd0)
         Transaction                29
         TransferTime           615111
         Pointer       HASH(0x32a9e10)
         Transaction                30
         TransferTime           615521
         Pointer       HASH(0x32aa050)
         Transaction                31
         TransferTime           615921
         Pointer       HASH(0x32aa290)
         Transaction                32
         TransferTime           616361
         Pointer       HASH(0x32aa4d0)
         Transaction                33
         TransferTime           619246
         Pointer       HASH(0x32aa710)
         Transaction                34
         TransferTime           619521
         Pointer       HASH(0x32aa978)
         Transaction                35
         TransferTime           619761
         Pointer       HASH(0x32aabb8)
         Transaction                36
         TransferTime           620046
         Pointer       HASH(0x32aadf8)
         Transaction                37
         TransferTime           620331
         Pointer       HASH(0x32ab038)
         Transaction                38
         TransferTime           620606
         Pointer       HASH(0x32ab278)
         Transaction                39
         TransferTime           620851
         Pointer       HASH(0x32ab4b8)
         Transaction                40
         TransferTime           621121
         Pointer       HASH(0x32ab6f8)
         Transaction                41
         TransferTime           621366
         Pointer       HASH(0x32ab960)
         Transaction                42
         TransferTime           621601
         Pointer       HASH(0x32abba0)
         Transaction                43
         TransferTime           621861
         Pointer       HASH(0x32abde0)
         Transaction                44
         TransferTime           622126
         Pointer       HASH(0x32ac020)
         Transaction                45
         TransferTime           622401
         Pointer       HASH(0x32ac260)
         Transaction                46
         TransferTime           622641
         Pointer       HASH(0x32ac4a0)
         Transaction                47
         TransferTime           622921
         Pointer       HASH(0x32ac6e0)
         Transaction                48
         TransferTime           623161
         Pointer       HASH(0x435bac8)
         Transaction                49
         TransferTime           623441
         Pointer       HASH(0x435bd08)
         Transaction                50
         TransferTime           623681
         Pointer       HASH(0x435bf48)
         Transaction                51
         TransferTime           623936
         Pointer       HASH(0x435c188)
         Transaction                52
         TransferTime           624201
         Pointer       HASH(0x435c3c8)
         Transaction                53
         TransferTime           626741
         Pointer       HASH(0x435c608)
         Transaction                54
         TransferTime           627101
         Pointer       HASH(0x435c848)
         Transaction                55
         TransferTime           627536
         Pointer       HASH(0x435cab0)
         Transaction                56
         TransferTime           627971
         Pointer       HASH(0x435ccf0)
         Transaction                57
         TransferTime           628401
         Pointer       HASH(0x435cf30)
         Transaction                58
         TransferTime           628841
         Pointer       HASH(0x435d170)
         Transaction                59
         TransferTime           629266
         Pointer       HASH(0x435d3b0)
         Transaction                60
         TransferTime           629681
         Pointer       HASH(0x435d5f0)
         Transaction                61
         TransferTime           630081
         Pointer       HASH(0x435d830)
         Transaction                62
         TransferTime           630461
         Pointer       HASH(0x435da98)
         Transaction                63
         TransferTime           630886
         Pointer       HASH(0x435dcd8)
         Transaction                64
         TransferTime           631301
         Pointer       HASH(0x435df18)
         Transaction                65
         TransferTime           631761
         Pointer       HASH(0x435e158)
         Transaction                66
         TransferTime           632141
         Pointer       HASH(0x435e398)
         Transaction                67
         TransferTime           632606
         Pointer       HASH(0x435e5d8)
         Transaction                68
         TransferTime           632981
         Pointer       HASH(0x435e818)
         Transaction                69
         TransferTime           633436
         Pointer       HASH(0x435ea58)
         Transaction                70
         TransferTime           633851
         Pointer       HASH(0x435ecc0)
         Transaction                71
         TransferTime           634311
         Pointer       HASH(0x435ef00)
         Transaction                72
         TransferTime           634751
         Pointer       HASH(0x435f140)	STOP WINDOW   HASH(0x435f140)
         Transaction                73
         TransferTime          1324641
         Pointer       HASH(0x435f380)
         Transaction                74
         TransferTime          1324866
         Pointer       HASH(0x435f5c0)
         Transaction                75
         TransferTime          1325106
         Pointer       HASH(0x435f800)
         Transaction                76
         TransferTime          1325346
         Pointer       HASH(0x435fa40)
         Transaction                77
         TransferTime          1325616
         Pointer       HASH(0x435fca8)
         Transaction                78
         TransferTime          1325856
         Pointer       HASH(0x435fee8)
         Transaction                79
         TransferTime          1326096
         Pointer       HASH(0x4360128)
         Transaction                80
         TransferTime          1326366
         Pointer       HASH(0x4360368)
         Transaction                81
         TransferTime          1326636
         Pointer       HASH(0x43605a8)
         Transaction                82
         TransferTime          1326876
         Pointer       HASH(0x43607e8)
         Transaction                83
         TransferTime          1327116
         Pointer       HASH(0x4360a28)
         Transaction                84
         TransferTime          1327386
         Pointer       HASH(0x4360c90)
         Transaction                85
         TransferTime          1327656
         Pointer       HASH(0x4360ed0)
         Transaction                86
