   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Picked  : |              609796 ns|              609801 ns|RD-NONSEQ | A582D80C | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
             |              609796 ns|              609801 ns|RD-NONSEQ | A582D80C | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
   Picked  : |              609771 ns|              609801 ns|WR-DATA   | A582D8E4 |  1/ 1 | -- | 06F37190 |  OKAY  | ---- | ------- | - | ---------- |
             |              609771 ns|              609801 ns|WR-DATA   | A582D8E4 |  1/ 1 | -- | 06F37190 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609821 ns|              609826 ns|WR-NONSEQ | A582D844 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
             |              609821 ns|              609826 ns|WR-NONSEQ | A582D844 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
   Picked  : |              609801 ns|              609826 ns|RD-DATA   | A582D80C |  1/ 1 | -- | E4EDBB39 |  OKAY  | ---- | ------- | - | ---------- |
             |              609801 ns|              609826 ns|RD-DATA   | A582D80C |  1/ 1 | -- | E4EDBB39 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609851 ns|              609856 ns|RD-NONSEQ | A582D954 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
             |              609851 ns|              609856 ns|RD-NONSEQ | A582D954 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
   Picked  : |              609826 ns|              609856 ns|WR-DATA   | A582D844 |  1/ 1 | -- | 871F782C |  OKAY  | ---- | ------- | - | ---------- |
             |              609826 ns|              609856 ns|WR-DATA   | A582D844 |  1/ 1 | -- | 871F782C |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609876 ns|              609881 ns|WR-NONSEQ | A582D84C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
             |              609876 ns|              609881 ns|WR-NONSEQ | A582D84C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
   Picked  : |              609856 ns|              609881 ns|RD-DATA   | A582D954 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              609856 ns|              609881 ns|RD-DATA   | A582D954 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609906 ns|              609911 ns|RD-NONSEQ | A582D82C | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
             |              609906 ns|              609911 ns|RD-NONSEQ | A582D82C | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
   Picked  : |              609881 ns|              609911 ns|WR-DATA   | A582D84C |  1/ 1 | -- | C0F6F516 |  OKAY  | ---- | ------- | - | ---------- |
             |              609881 ns|              609911 ns|WR-DATA   | A582D84C |  1/ 1 | -- | C0F6F516 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609931 ns|              609936 ns|WR-NONSEQ | A582DBC0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
             |              609931 ns|              609936 ns|WR-NONSEQ | A582DBC0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
   Picked  : |              609911 ns|              609936 ns|RD-DATA   | A582D82C |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              609911 ns|              609936 ns|RD-DATA   | A582D82C |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609961 ns|              609966 ns|RD-NONSEQ | A582D8E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
             |              609961 ns|              609966 ns|RD-NONSEQ | A582D8E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
   Picked  : |              609936 ns|              609966 ns|WR-DATA   | A582DBC0 |  1/ 1 | -- | 05BF6D37 |  OKAY  | ---- | ------- | - | ---------- |
             |              609936 ns|              609966 ns|WR-DATA   | A582DBC0 |  1/ 1 | -- | 05BF6D37 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609986 ns|              609991 ns|WR-NONSEQ | A582DBF4 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
             |              609986 ns|              609991 ns|WR-NONSEQ | A582DBF4 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
   Picked  : |              609966 ns|              609991 ns|RD-DATA   | A582D8E0 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
