Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              678021 ns|              678026 ns|WR-DATA   | AFCD6C88 |  4/ 4 | -- | D861F703 |  OKAY  | ---- | ------- | - | ---------- |
|              678026 ns|              678071 ns|WR-NONSEQ | AFCD6C90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              678026 ns|              678071 ns|WR-DATA   | AFCD6C8C |  1/ 4 | -- | 3EBD0864 |  OKAY  | ---- | ------- | - | ---------- |
|              678071 ns|              678081 ns|WR-DATA   | AFCD6C90 |  2/ 4 | -- | 6AF3F5E3 |  OKAY  | ---- | ------- | - | ---------- |
|              678081 ns|              678086 ns|WR-DATA   | AFCD6C94 |  3/ 4 | -- | 753149AF |  OKAY  | ---- | ------- | - | ---------- |
|              678086 ns|              678091 ns|WR-DATA   | AFCD6C98 |  4/ 4 | -- | 69650AD1 |  OKAY  | ---- | ------- | - | ---------- |
|              678091 ns|              678136 ns|WR-NONSEQ | AFCD6CA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              678091 ns|              678136 ns|WR-DATA   | AFCD6C9C |  1/ 4 | -- | 0A91BB47 |  OKAY  | ---- | ------- | - | ---------- |
|              678136 ns|              678146 ns|WR-DATA   | AFCD6CA0 |  2/ 4 | -- | B64EF8AB |  OKAY  | ---- | ------- | - | ---------- |
|              678146 ns|              678151 ns|WR-DATA   | AFCD6CA4 |  3/ 4 | -- | FB5DA1F7 |  OKAY  | ---- | ------- | - | ---------- |
|              678151 ns|              678156 ns|WR-DATA   | AFCD6CA8 |  4/ 4 | -- | 1EC894C6 |  OKAY  | ---- | ------- | - | ---------- |
|              678156 ns|              678196 ns|WR-NONSEQ | AFCD6CB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              678156 ns|              678196 ns|WR-DATA   | AFCD6CAC |  1/ 4 | -- | E2A840E6 |  OKAY  | ---- | ------- | - | ---------- |
|              678196 ns|              678206 ns|WR-DATA   | AFCD6CB0 |  2/ 4 | -- | 4CF62D6A |  OKAY  | ---- | ------- | - | ---------- |
|              678206 ns|              678211 ns|WR-DATA   | AFCD6CB4 |  3/ 4 | -- | 763558BF |  OKAY  | ---- | ------- | - | ---------- |
|              678211 ns|              678216 ns|WR-DATA   | AFCD6CB8 |  4/ 4 | -- | 78859F5C |  OKAY  | ---- | ------- | - | ---------- |
|              678216 ns|              678261 ns|WR-NONSEQ | AFCD6CC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              678216 ns|              678261 ns|WR-DATA   | AFCD6CBC |  1/ 4 | -- | D2B2BDEA |  OKAY  | ---- | ------- | - | ---------- |
|              678261 ns|              678271 ns|WR-DATA   | AFCD6CC0 |  2/ 4 | -- | DF6D0773 |  OKAY  | ---- | ------- | - | ---------- |
|              678271 ns|              678276 ns|WR-DATA   | AFCD6CC4 |  3/ 4 | -- | C90242C9 |  OKAY  | ---- | ------- | - | ---------- |
|              678276 ns|              678281 ns|WR-DATA   | AFCD6CC8 |  4/ 4 | -- | D6E95952 |  OKAY  | ---- | ------- | - | ---------- |
|              678281 ns|              678321 ns|WR-NONSEQ | AFCD6CD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              678281 ns|              678321 ns|WR-DATA   | AFCD6CCC |  1/ 4 | -- | 7AEFB4F4 |  OKAY  | ---- | ------- | - | ---------- |
|              678321 ns|              678331 ns|WR-DATA   | AFCD6CD0 |  2/ 4 | -- | AACD4427 |  OKAY  | ---- | ------- | - | ---------- |
|              678331 ns|              678336 ns|WR-DATA   | AFCD6CD4 |  3/ 4 | -- | D6C3D54C |  OKAY  | ---- | ------- | - | ---------- |
|              678336 ns|              678341 ns|WR-DATA   | AFCD6CD8 |  4/ 4 | -- | A20E938D |  OKAY  | ---- | ------- | - | ---------- |
|              678341 ns|              678386 ns|WR-NONSEQ | AFCD6CE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              678341 ns|              678386 ns|WR-DATA   | AFCD6CDC |  1/ 4 | -- | 015C6D89 |  OKAY  | ---- | ------- | - | ---------- |
|              678386 ns|              678396 ns|WR-DATA   | AFCD6CE0 |  2/ 4 | -- | 35D2BBDD |  OKAY  | ---- | ------- | - | ---------- |
|              678396 ns|              678401 ns|WR-DATA   | AFCD6CE4 |  3/ 4 | -- | FA19AFE1 |  OKAY  | ---- | ------- | - | ---------- |
|              678401 ns|              678406 ns|WR-DATA   | AFCD6CE8 |  4/ 4 | -- | CEFF0CFC |  OKAY  | ---- | ------- | - | ---------- |
|              678406 ns|              678451 ns|WR-NONSEQ | AFCD6CF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              678406 ns|              678451 ns|WR-DATA   | AFCD6CEC |  1/ 4 | -- | DA30DDDC |  OKAY  | ---- | ------- | - | ---------- |
|              678451 ns|              678461 ns|WR-DATA   | AFCD6CF0 |  2/ 4 | -- | F8D37C0E |  OKAY  | ---- | ------- | - | ---------- |
