Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              692701 ns|              692741 ns|WR-NONSEQ | AFCD7B10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              692701 ns|              692741 ns|WR-DATA   | AFCD7B0C |  1/ 4 | -- | 032B25C7 |  OKAY  | ---- | ------- | - | ---------- |
|              692741 ns|              692751 ns|WR-DATA   | AFCD7B10 |  2/ 4 | -- | DDA1E91E |  OKAY  | ---- | ------- | - | ---------- |
|              692751 ns|              692756 ns|WR-DATA   | AFCD7B14 |  3/ 4 | -- | 06A953A6 |  OKAY  | ---- | ------- | - | ---------- |
|              692756 ns|              692761 ns|WR-DATA   | AFCD7B18 |  4/ 4 | -- | 128345EB |  OKAY  | ---- | ------- | - | ---------- |
|              692761 ns|              692806 ns|WR-NONSEQ | AFCD7B20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              692761 ns|              692806 ns|WR-DATA   | AFCD7B1C |  1/ 4 | -- | D47C949D |  OKAY  | ---- | ------- | - | ---------- |
|              692806 ns|              692816 ns|WR-DATA   | AFCD7B20 |  2/ 4 | -- | 16A6F9CC |  OKAY  | ---- | ------- | - | ---------- |
|              692816 ns|              692821 ns|WR-DATA   | AFCD7B24 |  3/ 4 | -- | E6400C1D |  OKAY  | ---- | ------- | - | ---------- |
|              692821 ns|              692826 ns|WR-DATA   | AFCD7B28 |  4/ 4 | -- | B828297E |  OKAY  | ---- | ------- | - | ---------- |
|              692826 ns|              692871 ns|WR-NONSEQ | AFCD7B30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              692826 ns|              692871 ns|WR-DATA   | AFCD7B2C |  1/ 4 | -- | B91C5CED |  OKAY  | ---- | ------- | - | ---------- |
|              692871 ns|              692881 ns|WR-DATA   | AFCD7B30 |  2/ 4 | -- | C051ACBE |  OKAY  | ---- | ------- | - | ---------- |
|              692881 ns|              692886 ns|WR-DATA   | AFCD7B34 |  3/ 4 | -- | 14866C18 |  OKAY  | ---- | ------- | - | ---------- |
|              692886 ns|              692891 ns|WR-DATA   | AFCD7B38 |  4/ 4 | -- | 9221A6A8 |  OKAY  | ---- | ------- | - | ---------- |
|              692891 ns|              692931 ns|WR-NONSEQ | AFCD7B40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              692891 ns|              692931 ns|WR-DATA   | AFCD7B3C |  1/ 4 | -- | 7C45394F |  OKAY  | ---- | ------- | - | ---------- |
|              692931 ns|              692941 ns|WR-DATA   | AFCD7B40 |  2/ 4 | -- | 9CDBC1DF |  OKAY  | ---- | ------- | - | ---------- |
|              692941 ns|              692946 ns|WR-DATA   | AFCD7B44 |  3/ 4 | -- | 94A9595E |  OKAY  | ---- | ------- | - | ---------- |
|              692946 ns|              692951 ns|WR-DATA   | AFCD7B48 |  4/ 4 | -- | 893FE5A2 |  OKAY  | ---- | ------- | - | ---------- |
|              692951 ns|              692996 ns|WR-NONSEQ | AFCD7B50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              692951 ns|              692996 ns|WR-DATA   | AFCD7B4C |  1/ 4 | -- | C7793973 |  OKAY  | ---- | ------- | - | ---------- |
|              692996 ns|              693006 ns|WR-DATA   | AFCD7B50 |  2/ 4 | -- | 471FE4F6 |  OKAY  | ---- | ------- | - | ---------- |
|              693006 ns|              693011 ns|WR-DATA   | AFCD7B54 |  3/ 4 | -- | 46995F84 |  OKAY  | ---- | ------- | - | ---------- |
|              693011 ns|              693016 ns|WR-DATA   | AFCD7B58 |  4/ 4 | -- | 351721E3 |  OKAY  | ---- | ------- | - | ---------- |
|              693016 ns|              693056 ns|WR-NONSEQ | AFCD7B60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              693016 ns|              693056 ns|WR-DATA   | AFCD7B5C |  1/ 4 | -- | D10C395E |  OKAY  | ---- | ------- | - | ---------- |
|              693056 ns|              693066 ns|WR-DATA   | AFCD7B60 |  2/ 4 | -- | 0AA85C07 |  OKAY  | ---- | ------- | - | ---------- |
|              693066 ns|              693071 ns|WR-DATA   | AFCD7B64 |  3/ 4 | -- | 2911A0C4 |  OKAY  | ---- | ------- | - | ---------- |
|              693071 ns|              693076 ns|WR-DATA   | AFCD7B68 |  4/ 4 | -- | 7D2A8A6C |  OKAY  | ---- | ------- | - | ---------- |
|              693076 ns|              693116 ns|WR-NONSEQ | AFCD7B70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              693076 ns|              693116 ns|WR-DATA   | AFCD7B6C |  1/ 4 | -- | 5EF89E14 |  OKAY  | ---- | ------- | - | ---------- |
|              693116 ns|              693126 ns|WR-DATA   | AFCD7B70 |  2/ 4 | -- | 126CD994 |  OKAY  | ---- | ------- | - | ---------- |
|              693126 ns|              693131 ns|WR-DATA   | AFCD7B74 |  3/ 4 | -- | D3A35380 |  OKAY  | ---- | ------- | - | ---------- |
|              693131 ns|              693136 ns|WR-DATA   | AFCD7B78 |  4/ 4 | -- | 9C42A3E0 |  OKAY  | ---- | ------- | - | ---------- |
|              693136 ns|              693181 ns|WR-NONSEQ | AFCD7B80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              693136 ns|              693181 ns|WR-DATA   | AFCD7B7C |  1/ 4 | -- | 42B68B2E |  OKAY  | ---- | ------- | - | ---------- |
|              693181 ns|              693191 ns|WR-DATA   | AFCD7B80 |  2/ 4 | -- | 27BFE746 |  OKAY  | ---- | ------- | - | ---------- |
|              693191 ns|              693196 ns|WR-DATA   | AFCD7B84 |  3/ 4 | -- | 324BFFDC |  OKAY  | ---- | ------- | - | ---------- |
|              693196 ns|              693201 ns|WR-DATA   | AFCD7B88 |  4/ 4 | -- | 9EE7CA03 |  OKAY  | ---- | ------- | - | ---------- |
|              693201 ns|              693241 ns|WR-NONSEQ | AFCD7B90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              693201 ns|              693241 ns|WR-DATA   | AFCD7B8C |  1/ 4 | -- | 2FAF2B1D |  OKAY  | ---- | ------- | - | ---------- |
|              693241 ns|              693251 ns|WR-DATA   | AFCD7B90 |  2/ 4 | -- | C65FC2B6 |  OKAY  | ---- | ------- | - | ---------- |
|              693251 ns|              693256 ns|WR-DATA   | AFCD7B94 |  3/ 4 | -- | 078DF7C7 |  OKAY  | ---- | ------- | - | ---------- |
|              693256 ns|              693261 ns|WR-DATA   | AFCD7B98 |  4/ 4 | -- | 647E6DEA |  OKAY  | ---- | ------- | - | ---------- |
|              693261 ns|              693306 ns|WR-NONSEQ | AFCD7BA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              693261 ns|              693306 ns|WR-DATA   | AFCD7B9C |  1/ 4 | -- | 8BFFF3D2 |  OKAY  | ---- | ------- | - | ---------- |
|              693306 ns|              693316 ns|WR-DATA   | AFCD7BA0 |  2/ 4 | -- | 254958DD |  OKAY  | ---- | ------- | - | ---------- |
|              693316 ns|              693321 ns|WR-DATA   | AFCD7BA4 |  3/ 4 | -- | 542D0345 |  OKAY  | ---- | ------- | - | ---------- |
|              693321 ns|              693326 ns|WR-DATA   | AFCD7BA8 |  4/ 4 | -- | 219FB6FC |  OKAY  | ---- | ------- | - | ---------- |
|              693326 ns|              693371 ns|WR-NONSEQ | AFCD7BB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              693326 ns|              693371 ns|WR-DATA   | AFCD7BAC |  1/ 4 | -- | 51D4876B |  OKAY  | ---- | ------- | - | ---------- |
|              693371 ns|              693381 ns|WR-DATA   | AFCD7BB0 |  2/ 4 | -- | C84DCA88 |  OKAY  | ---- | ------- | - | ---------- |
|              693381 ns|              693386 ns|WR-DATA   | AFCD7BB4 |  3/ 4 | -- | 1953A96A |  OKAY  | ---- | ------- | - | ---------- |
|              693386 ns|              693391 ns|WR-DATA   | AFCD7BB8 |  4/ 4 | -- | 3BB6E9FE |  OKAY  | ---- | ------- | - | ---------- |
|              693391 ns|              693436 ns|WR-NONSEQ | AFCD7BC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              693391 ns|              693436 ns|WR-DATA   | AFCD7BBC |  1/ 4 | -- | 3C0B6285 |  OKAY  | ---- | ------- | - | ---------- |
|              693436 ns|              693446 ns|WR-DATA   | AFCD7BC0 |  2/ 4 | -- | 5E1AA8F9 |  OKAY  | ---- | ------- | - | ---------- |
|              693446 ns|              693451 ns|WR-DATA   | AFCD7BC4 |  3/ 4 | -- | 948C62EB |  OKAY  | ---- | ------- | - | ---------- |
|              693451 ns|              693456 ns|WR-DATA   | AFCD7BC8 |  4/ 4 | -- | CD9F7E93 |  OKAY  | ---- | ------- | - | ---------- |
|              693456 ns|              693501 ns|WR-NONSEQ | AFCD7BD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              693456 ns|              693501 ns|WR-DATA   | AFCD7BCC |  1/ 4 | -- | 57C49277 |  OKAY  | ---- | ------- | - | ---------- |
|              693501 ns|              693511 ns|WR-DATA   | AFCD7BD0 |  2/ 4 | -- | 8BA25DB7 |  OKAY  | ---- | ------- | - | ---------- |
|              693511 ns|              693516 ns|WR-DATA   | AFCD7BD4 |  3/ 4 | -- | 552327F7 |  OKAY  | ---- | ------- | - | ---------- |
|              693516 ns|              693521 ns|WR-DATA   | AFCD7BD8 |  4/ 4 | -- | 20471A42 |  OKAY  | ---- | ------- | - | ---------- |
|              693521 ns|              693566 ns|WR-NONSEQ | AFCD7BE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              693521 ns|              693566 ns|WR-DATA   | AFCD7BDC |  1/ 4 | -- | 22A5BAF2 |  OKAY  | ---- | ------- | - | ---------- |
|              693566 ns|              693576 ns|WR-DATA   | AFCD7BE0 |  2/ 4 | -- | DEDF3307 |  OKAY  | ---- | ------- | - | ---------- |
|              693576 ns|              693581 ns|WR-DATA   | AFCD7BE4 |  3/ 4 | -- | 5AD22DFC |  OKAY  | ---- | ------- | - | ---------- |
|              693581 ns|              693586 ns|WR-DATA   | AFCD7BE8 |  4/ 4 | -- | 387B23BB |  OKAY  | ---- | ------- | - | ---------- |
|              693586 ns|              693631 ns|WR-NONSEQ | AFCD7BF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              693586 ns|              693631 ns|WR-DATA   | AFCD7BEC |  1/ 4 | -- | EBA51E1B |  OKAY  | ---- | ------- | - | ---------- |
|              693631 ns|              693641 ns|WR-DATA   | AFCD7BF0 |  2/ 4 | -- | 14D7BAA0 |  OKAY  | ---- | ------- | - | ---------- |
|              693641 ns|              693646 ns|WR-DATA   | AFCD7BF4 |  3/ 4 | -- | 417BF4D1 |  OKAY  | ---- | ------- | - | ---------- |
|              693646 ns|              693651 ns|WR-DATA   | AFCD7BF8 |  4/ 4 | -- | AEE073D5 |  OKAY  | ---- | ------- | - | ---------- |
|              693651 ns|              693691 ns|WR-NONSEQ | AFCD7C00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              693651 ns|              693691 ns|WR-DATA   | AFCD7BFC |  1/ 4 | -- | C156D61A |  OKAY  | ---- | ------- | - | ---------- |
|              693691 ns|              693701 ns|WR-DATA   | AFCD7C00 |  2/ 4 | -- | 0A5EF861 |  OKAY  | ---- | ------- | - | ---------- |
|              693701 ns|              693706 ns|WR-DATA   | AFCD7C04 |  3/ 4 | -- | FC49A2C0 |  OKAY  | ---- | ------- | - | ---------- |
|              693706 ns|              693711 ns|WR-DATA   | AFCD7C08 |  4/ 4 | -- | 38976597 |  OKAY  | ---- | ------- | - | ---------- |
|              693711 ns|              693756 ns|WR-NONSEQ | AFCD7C10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              693711 ns|              693756 ns|WR-DATA   | AFCD7C0C |  1/ 4 | -- | F7B1314D |  OKAY  | ---- | ------- | - | ---------- |
|              693756 ns|              693766 ns|WR-DATA   | AFCD7C10 |  2/ 4 | -- | 34A4E920 |  OKAY  | ---- | ------- | - | ---------- |
|              693766 ns|              693771 ns|WR-DATA   | AFCD7C14 |  3/ 4 | -- | ABABE200 |  OKAY  | ---- | ------- | - | ---------- |
|              693771 ns|              693776 ns|WR-DATA   | AFCD7C18 |  4/ 4 | -- | C6E3EF98 |  OKAY  | ---- | ------- | - | ---------- |
|              693776 ns|              693821 ns|WR-NONSEQ | AFCD7C20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              693776 ns|              693821 ns|WR-DATA   | AFCD7C1C |  1/ 4 | -- | 48686179 |  OKAY  | ---- | ------- | - | ---------- |
|              693821 ns|              693831 ns|WR-DATA   | AFCD7C20 |  2/ 4 | -- | EEE3ACAC |  OKAY  | ---- | ------- | - | ---------- |
|              693831 ns|              693836 ns|WR-DATA   | AFCD7C24 |  3/ 4 | -- | 0F367602 |  OKAY  | ---- | ------- | - | ---------- |
|              693836 ns|              693841 ns|WR-DATA   | AFCD7C28 |  4/ 4 | -- | 5699386E |  OKAY  | ---- | ------- | - | ---------- |
|              693841 ns|              693886 ns|WR-NONSEQ | AFCD7C30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              693841 ns|              693886 ns|WR-DATA   | AFCD7C2C |  1/ 4 | -- | 70960D51 |  OKAY  | ---- | ------- | - | ---------- |
|              693886 ns|              693896 ns|WR-DATA   | AFCD7C30 |  2/ 4 | -- | A6A29356 |  OKAY  | ---- | ------- | - | ---------- |
|              693896 ns|              693901 ns|WR-DATA   | AFCD7C34 |  3/ 4 | -- | 8D8BD305 |  OKAY  | ---- | ------- | - | ---------- |
|              693901 ns|              693906 ns|WR-DATA   | AFCD7C38 |  4/ 4 | -- | F565776A |  OKAY  | ---- | ------- | - | ---------- |
|              693906 ns|              693951 ns|WR-NONSEQ | AFCD7C40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              693906 ns|              693951 ns|WR-DATA   | AFCD7C3C |  1/ 4 | -- | 5323C0D2 |  OKAY  | ---- | ------- | - | ---------- |
|              693951 ns|              693961 ns|WR-DATA   | AFCD7C40 |  2/ 4 | -- | EA364571 |  OKAY  | ---- | ------- | - | ---------- |
|              693961 ns|              693966 ns|WR-DATA   | AFCD7C44 |  3/ 4 | -- | 0AE24405 |  OKAY  | ---- | ------- | - | ---------- |
|              693966 ns|              693971 ns|WR-DATA   | AFCD7C48 |  4/ 4 | -- | 3D2D4CD3 |  OKAY  | ---- | ------- | - | ---------- |
|              693971 ns|              694016 ns|WR-NONSEQ | AFCD7C50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              693971 ns|              694016 ns|WR-DATA   | AFCD7C4C |  1/ 4 | -- | ACCEEDFB |  OKAY  | ---- | ------- | - | ---------- |
|              694016 ns|              694026 ns|WR-DATA   | AFCD7C50 |  2/ 4 | -- | 415B073B |  OKAY  | ---- | ------- | - | ---------- |
|              694026 ns|              694031 ns|WR-DATA   | AFCD7C54 |  3/ 4 | -- | 6773A0B6 |  OKAY  | ---- | ------- | - | ---------- |
|              694031 ns|              694036 ns|WR-DATA   | AFCD7C58 |  4/ 4 | -- | D3E5AB68 |  OKAY  | ---- | ------- | - | ---------- |
|              694036 ns|              694081 ns|WR-NONSEQ | AFCD7C60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              694036 ns|              694081 ns|WR-DATA   | AFCD7C5C |  1/ 4 | -- | 73375096 |  OKAY  | ---- | ------- | - | ---------- |
|              694081 ns|              694091 ns|WR-DATA   | AFCD7C60 |  2/ 4 | -- | 3B1C85BB |  OKAY  | ---- | ------- | - | ---------- |
|              694091 ns|              694096 ns|WR-DATA   | AFCD7C64 |  3/ 4 | -- | E01CBDAA |  OKAY  | ---- | ------- | - | ---------- |
|              694096 ns|              694101 ns|WR-DATA   | AFCD7C68 |  4/ 4 | -- | 798F1E03 |  OKAY  | ---- | ------- | - | ---------- |
|              694101 ns|              694146 ns|WR-NONSEQ | AFCD7C70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              694101 ns|              694146 ns|WR-DATA   | AFCD7C6C |  1/ 4 | -- | 76ED1D8C |  OKAY  | ---- | ------- | - | ---------- |
|              694146 ns|              694156 ns|WR-DATA   | AFCD7C70 |  2/ 4 | -- | 20587667 |  OKAY  | ---- | ------- | - | ---------- |
|              694156 ns|              694161 ns|WR-DATA   | AFCD7C74 |  3/ 4 | -- | 4FEE8574 |  OKAY  | ---- | ------- | - | ---------- |
|              694161 ns|              694166 ns|WR-DATA   | AFCD7C78 |  4/ 4 | -- | 73D6F2CC |  OKAY  | ---- | ------- | - | ---------- |
|              694166 ns|              694211 ns|WR-NONSEQ | AFCD7C80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              694166 ns|              694211 ns|WR-DATA   | AFCD7C7C |  1/ 4 | -- | 47B88814 |  OKAY  | ---- | ------- | - | ---------- |
|              694211 ns|              694221 ns|WR-DATA   | AFCD7C80 |  2/ 4 | -- | 40886B94 |  OKAY  | ---- | ------- | - | ---------- |
|              694221 ns|              694226 ns|WR-DATA   | AFCD7C84 |  3/ 4 | -- | 1C0A3C60 |  OKAY  | ---- | ------- | - | ---------- |
|              694226 ns|              694231 ns|WR-DATA   | AFCD7C88 |  4/ 4 | -- | 8FDB0147 |  OKAY  | ---- | ------- | - | ---------- |
|              694231 ns|              694276 ns|WR-NONSEQ | AFCD7C90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              694231 ns|              694276 ns|WR-DATA   | AFCD7C8C |  1/ 4 | -- | 6897BEF4 |  OKAY  | ---- | ------- | - | ---------- |
|              694276 ns|              694286 ns|WR-DATA   | AFCD7C90 |  2/ 4 | -- | 65584CE9 |  OKAY  | ---- | ------- | - | ---------- |
|              694286 ns|              694291 ns|WR-DATA   | AFCD7C94 |  3/ 4 | -- | DF353960 |  OKAY  | ---- | ------- | - | ---------- |
|              694291 ns|              694296 ns|WR-DATA   | AFCD7C98 |  4/ 4 | -- | F8C91928 |  OKAY  | ---- | ------- | - | ---------- |
|              694296 ns|              694336 ns|WR-NONSEQ | AFCD7CA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              694296 ns|              694336 ns|WR-DATA   | AFCD7C9C |  1/ 4 | -- | 06FDB05A |  OKAY  | ---- | ------- | - | ---------- |
|              694336 ns|              694346 ns|WR-DATA   | AFCD7CA0 |  2/ 4 | -- | 02CA0073 |  OKAY  | ---- | ------- | - | ---------- |
|              694346 ns|              694351 ns|WR-DATA   | AFCD7CA4 |  3/ 4 | -- | 6CF06476 |  OKAY  | ---- | ------- | - | ---------- |
|              694351 ns|              694356 ns|WR-DATA   | AFCD7CA8 |  4/ 4 | -- | 0471AFCD |  OKAY  | ---- | ------- | - | ---------- |
|              694356 ns|              694396 ns|WR-NONSEQ | AFCD7CB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              694356 ns|              694396 ns|WR-DATA   | AFCD7CAC |  1/ 4 | -- | CC9AD324 |  OKAY  | ---- | ------- | - | ---------- |
|              694396 ns|              694406 ns|WR-DATA   | AFCD7CB0 |  2/ 4 | -- | D7F9D79F |  OKAY  | ---- | ------- | - | ---------- |
|              694406 ns|              694411 ns|WR-DATA   | AFCD7CB4 |  3/ 4 | -- | 21B3530D |  OKAY  | ---- | ------- | - | ---------- |
|              694411 ns|              694416 ns|WR-DATA   | AFCD7CB8 |  4/ 4 | -- | 92CD005C |  OKAY  | ---- | ------- | - | ---------- |
|              694416 ns|              694461 ns|WR-NONSEQ | AFCD7CC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              694416 ns|              694461 ns|WR-DATA   | AFCD7CBC |  1/ 4 | -- | 501004C5 |  OKAY  | ---- | ------- | - | ---------- |
|              694461 ns|              694471 ns|WR-DATA   | AFCD7CC0 |  2/ 4 | -- | B23FB56E |  OKAY  | ---- | ------- | - | ---------- |
|              694471 ns|              694476 ns|WR-DATA   | AFCD7CC4 |  3/ 4 | -- | 117B03C6 |  OKAY  | ---- | ------- | - | ---------- |
|              694476 ns|              694481 ns|WR-DATA   | AFCD7CC8 |  4/ 4 | -- | A9C3969A |  OKAY  | ---- | ------- | - | ---------- |
|              694481 ns|              694526 ns|WR-NONSEQ | AFCD7CD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              694481 ns|              694526 ns|WR-DATA   | AFCD7CCC |  1/ 4 | -- | BC73CFBE |  OKAY  | ---- | ------- | - | ---------- |
|              694526 ns|              694536 ns|WR-DATA   | AFCD7CD0 |  2/ 4 | -- | AD03B5CB |  OKAY  | ---- | ------- | - | ---------- |
|              694536 ns|              694541 ns|WR-DATA   | AFCD7CD4 |  3/ 4 | -- | 36D50C00 |  OKAY  | ---- | ------- | - | ---------- |
|              694541 ns|              694546 ns|WR-DATA   | AFCD7CD8 |  4/ 4 | -- | 3B22BD37 |  OKAY  | ---- | ------- | - | ---------- |
|              694546 ns|              694591 ns|WR-NONSEQ | AFCD7CE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              694546 ns|              694591 ns|WR-DATA   | AFCD7CDC |  1/ 4 | -- | D242703A |  OKAY  | ---- | ------- | - | ---------- |
|              694591 ns|              694601 ns|WR-DATA   | AFCD7CE0 |  2/ 4 | -- | 1B70F2CB |  OKAY  | ---- | ------- | - | ---------- |
|              694601 ns|              694606 ns|WR-DATA   | AFCD7CE4 |  3/ 4 | -- | 68638026 |  OKAY  | ---- | ------- | - | ---------- |
|              694606 ns|              694611 ns|WR-DATA   | AFCD7CE8 |  4/ 4 | -- | E7CDE3D0 |  OKAY  | ---- | ------- | - | ---------- |
|              694611 ns|              694656 ns|WR-NONSEQ | AFCD7CF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              694611 ns|              694656 ns|WR-DATA   | AFCD7CEC |  1/ 4 | -- | 75E59ACB |  OKAY  | ---- | ------- | - | ---------- |
|              694656 ns|              694666 ns|WR-DATA   | AFCD7CF0 |  2/ 4 | -- | B682E66D |  OKAY  | ---- | ------- | - | ---------- |
|              694666 ns|              694671 ns|WR-DATA   | AFCD7CF4 |  3/ 4 | -- | BA1FD258 |  OKAY  | ---- | ------- | - | ---------- |
|              694671 ns|              694676 ns|WR-DATA   | AFCD7CF8 |  4/ 4 | -- | 2DC95C72 |  OKAY  | ---- | ------- | - | ---------- |
|              694676 ns|              694721 ns|WR-NONSEQ | AFCD7D00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              694676 ns|              694721 ns|WR-DATA   | AFCD7CFC |  1/ 4 | -- | 4511C4CA |  OKAY  | ---- | ------- | - | ---------- |
|              694721 ns|              694731 ns|WR-DATA   | AFCD7D00 |  2/ 4 | -- | 5C5E2096 |  OKAY  | ---- | ------- | - | ---------- |
|              694731 ns|              694736 ns|WR-DATA   | AFCD7D04 |  3/ 4 | -- | 61377DCE |  OKAY  | ---- | ------- | - | ---------- |
|              694736 ns|              694741 ns|WR-DATA   | AFCD7D08 |  4/ 4 | -- | ABB034BD |  OKAY  | ---- | ------- | - | ---------- |
|              694741 ns|              694786 ns|WR-NONSEQ | AFCD7D10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              694741 ns|              694786 ns|WR-DATA   | AFCD7D0C |  1/ 4 | -- | B664BDE3 |  OKAY  | ---- | ------- | - | ---------- |
|              694786 ns|              694796 ns|WR-DATA   | AFCD7D10 |  2/ 4 | -- | A5E525A6 |  OKAY  | ---- | ------- | - | ---------- |
|              694796 ns|              694801 ns|WR-DATA   | AFCD7D14 |  3/ 4 | -- | F4E27309 |  OKAY  | ---- | ------- | - | ---------- |
|              694801 ns|              694806 ns|WR-DATA   | AFCD7D18 |  4/ 4 | -- | 1B2085B4 |  OKAY  | ---- | ------- | - | ---------- |
|              694806 ns|              694851 ns|WR-NONSEQ | AFCD7D20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              694806 ns|              694851 ns|WR-DATA   | AFCD7D1C |  1/ 4 | -- | CA0C7056 |  OKAY  | ---- | ------- | - | ---------- |
|              694851 ns|              694861 ns|WR-DATA   | AFCD7D20 |  2/ 4 | -- | 84F8014D |  OKAY  | ---- | ------- | - | ---------- |
|              694861 ns|              694866 ns|WR-DATA   | AFCD7D24 |  3/ 4 | -- | 0894CCB0 |  OKAY  | ---- | ------- | - | ---------- |
|              694866 ns|              694871 ns|WR-DATA   | AFCD7D28 |  4/ 4 | -- | 1D1010D8 |  OKAY  | ---- | ------- | - | ---------- |
|              694871 ns|              694916 ns|WR-NONSEQ | AFCD7D30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              694871 ns|              694916 ns|WR-DATA   | AFCD7D2C |  1/ 4 | -- | EDC0B2CF |  OKAY  | ---- | ------- | - | ---------- |
|              694916 ns|              694926 ns|WR-DATA   | AFCD7D30 |  2/ 4 | -- | 45B22F04 |  OKAY  | ---- | ------- | - | ---------- |
|              694926 ns|              694931 ns|WR-DATA   | AFCD7D34 |  3/ 4 | -- | 21C3E07D |  OKAY  | ---- | ------- | - | ---------- |
|              694931 ns|              694936 ns|WR-DATA   | AFCD7D38 |  4/ 4 | -- | 4ECCEAC1 |  OKAY  | ---- | ------- | - | ---------- |
|              694936 ns|              694981 ns|WR-NONSEQ | AFCD7D40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              694936 ns|              694981 ns|WR-DATA   | AFCD7D3C |  1/ 4 | -- | 6A1E5946 |  OKAY  | ---- | ------- | - | ---------- |
|              694981 ns|              694991 ns|WR-DATA   | AFCD7D40 |  2/ 4 | -- | 1EEC1B5B |  OKAY  | ---- | ------- | - | ---------- |
|              694991 ns|              694996 ns|WR-DATA   | AFCD7D44 |  3/ 4 | -- | AD34160E |  OKAY  | ---- | ------- | - | ---------- |
|              694996 ns|              695001 ns|WR-DATA   | AFCD7D48 |  4/ 4 | -- | E6A08C85 |  OKAY  | ---- | ------- | - | ---------- |
|              695001 ns|              695041 ns|WR-NONSEQ | AFCD7D50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              695001 ns|              695041 ns|WR-DATA   | AFCD7D4C |  1/ 4 | -- | 5826CD7C |  OKAY  | ---- | ------- | - | ---------- |
|              695041 ns|              695051 ns|WR-DATA   | AFCD7D50 |  2/ 4 | -- | F26A3BBD |  OKAY  | ---- | ------- | - | ---------- |
|              695051 ns|              695056 ns|WR-DATA   | AFCD7D54 |  3/ 4 | -- | 70773F02 |  OKAY  | ---- | ------- | - | ---------- |
|              695056 ns|              695061 ns|WR-DATA   | AFCD7D58 |  4/ 4 | -- | 684EA724 |  OKAY  | ---- | ------- | - | ---------- |
|              695061 ns|              695106 ns|WR-NONSEQ | AFCD7D60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
