Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6686890 ps|             6691866 ps|WR-DATA   | 3FF17130 |  1/ 1 | -- | AB402596 |  OKAY  | ---- | ------- | - | ---------- |
|             6691866 ps|             6696866 ps|WR-NONSEQ | 3FF17150 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6691866 ps|             6696866 ps|WR-DATA   | 3FF17140 |  1/ 1 | -- | 7A27409B |  OKAY  | ---- | ------- | - | ---------- |
|             6696866 ps|             6701892 ps|WR-NONSEQ | 3FF17160 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 6 |           0|
|             6696866 ps|             6701892 ps|WR-DATA   | 3FF17150 |  1/ 1 | -- | B686EF60 |  OKAY  | ---- | ------- | - | ---------- |
|             6701892 ps|             6706868 ps|WR-NONSEQ | 3FF17170 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6701892 ps|             6706868 ps|WR-DATA   | 3FF17160 |  1/ 1 | -- | 54596187 |  OKAY  | ---- | ------- | - | ---------- |
|             6706868 ps|             6711894 ps|WR-NONSEQ | 3FF17180 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 6 |           0|
|             6706868 ps|             6711894 ps|WR-DATA   | 3FF17170 |  1/ 1 | -- | 2C711AFB |  OKAY  | ---- | ------- | - | ---------- |
|             6711894 ps|             6716994 ps|WR-NONSEQ | 3FF17190 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6711894 ps|             6716994 ps|WR-DATA   | 3FF17180 |  1/ 1 | -- | C92C6F01 |  OKAY  | ---- | ------- | - | ---------- |
|             6716994 ps|             6721920 ps|WR-NONSEQ | 3FF171A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6716994 ps|             6721920 ps|WR-DATA   | 3FF17190 |  1/ 1 | -- | F8612F30 |  OKAY  | ---- | ------- | - | ---------- |
|             6721920 ps|             6727020 ps|WR-NONSEQ | 3FF171B0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
|             6721920 ps|             6727020 ps|WR-DATA   | 3FF171A0 |  1/ 1 | -- | 05C56C63 |  OKAY  | ---- | ------- | - | ---------- |
|             6727020 ps|             6732070 ps|WR-NONSEQ | 3FF171C0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
|             6727020 ps|             6732070 ps|WR-DATA   | 3FF171B0 |  1/ 1 | -- | 87E757D0 |  OKAY  | ---- | ------- | - | ---------- |
|             6732070 ps|             6737070 ps|WR-NONSEQ | 3FF171D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
|             6732070 ps|             6737070 ps|WR-DATA   | 3FF171C0 |  1/ 1 | -- | DC5EE94B |  OKAY  | ---- | ------- | - | ---------- |
|             6737070 ps|             6741970 ps|WR-NONSEQ | 3FF171E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 4 |           0|
|             6737070 ps|             6741970 ps|WR-DATA   | 3FF171D0 |  1/ 1 | -- | F1BD6CD1 |  OKAY  | ---- | ------- | - | ---------- |
|             6741970 ps|             6747020 ps|WR-NONSEQ | 3FF171F0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | F |           0|
|             6741970 ps|             6747020 ps|WR-DATA   | 3FF171E0 |  1/ 1 | -- | CD04E720 |  OKAY  | ---- | ------- | - | ---------- |
|             6747020 ps|             6751946 ps|WR-NONSEQ | 3FF17200 | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
|             6747020 ps|             6751946 ps|WR-DATA   | 3FF171F0 |  1/ 1 | -- | 34F688BD |  OKAY  | ---- | ------- | - | ---------- |
|             6751946 ps|             6757022 ps|WR-NONSEQ | 3FF17210 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6751946 ps|             6757022 ps|WR-DATA   | 3FF17200 |  1/ 1 | -- | B0A21B3D |  OKAY  | ---- | ------- | - | ---------- |
|             6757022 ps|             6762022 ps|WR-NONSEQ | 3FF17220 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
|             6757022 ps|             6762022 ps|WR-DATA   | 3FF17210 |  1/ 1 | -- | 44822CFF |  OKAY  | ---- | ------- | - | ---------- |
|             6762022 ps|             6767122 ps|WR-NONSEQ | 3FF17230 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6762022 ps|             6767122 ps|WR-DATA   | 3FF17220 |  1/ 1 | -- | AB88C120 |  OKAY  | ---- | ------- | - | ---------- |
|             6767122 ps|             6772222 ps|WR-NONSEQ | 3FF17240 | ----- |  1 | -------- |  ----  |SINGLE|    4    | F |           0|
|             6767122 ps|             6772222 ps|WR-DATA   | 3FF17230 |  1/ 1 | -- | 7E031BFB |  OKAY  | ---- | ------- | - | ---------- |
|             6772222 ps|             6777298 ps|WR-NONSEQ | 3FF17250 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6772222 ps|             6777298 ps|WR-DATA   | 3FF17240 |  1/ 1 | -- | 59033408 |  OKAY  | ---- | ------- | - | ---------- |
|             6777298 ps|             6782224 ps|WR-NONSEQ | 3FF17260 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
